Journal,ISSN,eISSN,Category,IF,Quartile,Rank,Open_Access,Edition
Asian Studies Review,1035-7823,1467-8403,AREA STUDIES,1.2,Q2, 36/84 ,6.94%,SSCI
Mediterranean Politics,1362-9395,1743-9418,AREA STUDIES,1.7,Q2, 23/84 ,16.91%,SSCI
Marine Life Science & Technology,2096-6490,2662-1746,MARINE & FRESHWATER BIOLOGY,5.7,Q1, 5/106 ,31.06%,SCIE
REFRACTORIES AND INDUSTRIAL CERAMICS,1083-4877,1573-9139,"MATERIALS SCIENCE, CERAMICS",0.5,Q4, 26/28 ,0%,SCIE
SYSTEMIC PRACTICE AND ACTION RESEARCH,1094-429X,1573-9295,MANAGEMENT,1.2,Q4, 216/227 ,22.14%,SSCI
Southeast European and Black Sea Studies,1468-3857,1743-9639,AREA STUDIES,2.1,Q1, 13/84 ,14.81%,SSCI
Processing and Application of Ceramics,1820-6131,2406-1034,"MATERIALS SCIENCE, CERAMICS",1.1,Q3, 19/28 ,75%,SCIE
Cross Cultural & Strategic Management,2059-5794,2059-5794,MANAGEMENT,2.5,Q4, 185/227 ,0.86%,SSCI
JOURNAL OF ORGANIZATIONAL BEHAVIOR MANAGEMENT,0160-8061,1540-8604,MANAGEMENT,2.1,Q4, 198/227 ,2.86%,SSCI
Nanoscale and Microscale Thermophysical Engineering,1556-7265,1556-7273,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",4.1,Q1, 5/32 ,0%,SCIE
REVISTA DE BIOLOGIA MARINA Y OCEANOGRAFIA,0717-3326,0718-1957,MARINE & FRESHWATER BIOLOGY,0.4,Q4, 103/106 ,87.50%,SCIE
Qualitative Research in Accounting and Management,1176-6093,1758-7654,MANAGEMENT,1.9,Q4, 203/227 ,16.28%,SSCI
Contemporary Southeast Asia,0129-797X,1793-284X,AREA STUDIES,0.9,Q3, 46/84 ,0%,SSCI
JOURNAL OF PALESTINE STUDIES,0377-919X,1533-8614,AREA STUDIES,0.8,Q3, 54/84 ,5%,SSCI
China Review-An Interdisciplinary Journal on Greater China,1680-2012,1680-2012,AREA STUDIES,1.6,Q2, 24/84 ,0%,SSCI
IMA Journal of Management Mathematics,1471-678X,1471-6798,MANAGEMENT,1.7,Q4, 209/227 ,7.77%,SSCI
Service Science,2164-3962,2164-3970,MANAGEMENT,2.3,Q4, 191/227 ,0%,SSCI
South African Journal of Economic and Management Sciences,2222-3436,2222-3436,MANAGEMENT,1.1,Q4, 219/227 ,89.47%,SSCI
Advanced Steel Construction,1816-112X,,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",1.7,Q3, 19/32 ,0%,SCIE
British Journal of Middle Eastern Studies,1353-0194,1469-3542,AREA STUDIES,0.9,Q3, 46/84 ,11.86%,SSCI
E & M Ekonomie a Management,1212-3609,2336-5064,MANAGEMENT,1.5,Q4, 211/227 ,97.37%,SSCI
HIGH TEMPERATURES-HIGH PRESSURES,0018-1544,1472-3441,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",1.1,Q4, 25/32 ,89.89%,SCIE
SCIENCE OF SINTERING,0350-820X,,"MATERIALS SCIENCE, CERAMICS",1.5,Q3, 16/28 ,99.10%,SCIE
JOURNAL OF SOUTHEAST ASIAN STUDIES,0022-4634,1474-0680,AREA STUDIES,0.6,Q4, 64/84 ,0%,SSCI
Decision Analysis,1545-8490,1545-8504,MANAGEMENT,1.9,Q4, 203/227 ,0%,SSCI
China Perspectives,2070-3449,1996-4617,AREA STUDIES,1.6,Q2, 24/84 ,0%,SSCI
Journal of Contemporary European Studies,1478-2804,1478-2790,AREA STUDIES,1.3,Q2, 33/84 ,21.56%,SSCI
CRYPTOGAMIE ALGOLOGIE,0181-1568,1776-0984,MARINE & FRESHWATER BIOLOGY,1.3,Q3, 69/106 ,0%,SCIE
RAE-Revista de Administracao de Empresas,0034-7590,2178-938X,MANAGEMENT,0.8,Q4, 222/227 ,81.95%,SSCI
European Review,1062-7987,1474-0575,AREA STUDIES,0.4,Q4, 77/84 ,31.53%,SSCI
TRANSPORTATION JOURNAL,0041-1612,2157-328X,MANAGEMENT,2.3,Q4, 191/227 ,0%,SSCI
ICHTHYOLOGICAL EXPLORATION OF FRESHWATERS,0936-9902,,MARINE & FRESHWATER BIOLOGY,1.0,Q4, 84/106 ,0%,SCIE
Culture and Organization,1475-9551,1477-2760,MANAGEMENT,1.6,Q4, 210/227 ,35.42%,SSCI
Bulletin of Latin American Research,0261-3050,1470-9856,AREA STUDIES,0.9,Q3, 46/84 ,25.43%,SSCI
Contemporary South Asia,0958-4935,1469-364X,AREA STUDIES,1.4,Q2, 30/84 ,16.81%,SSCI
Advanced Biology,2701-0198,2701-0198,"MATERIALS SCIENCE, BIOMATERIALS",3.7,Q3, 28/45 ,31.05%,SCIE
Asia & the Pacific Policy Studies,2050-2680,2050-2680,AREA STUDIES,1.9,Q1, 20/84 ,84.06%,SSCI
JOURNAL OF AQUATIC PLANT MANAGEMENT,0146-6623,0146-6623,MARINE & FRESHWATER BIOLOGY,1.1,Q3, 79/106 ,0%,SCIE
NEGOTIATION JOURNAL,0748-4526,1571-9979,MANAGEMENT,0.8,Q4, 222/227 ,8.45%,SSCI
Inland Water Biology,1995-0829,1995-0837,MARINE & FRESHWATER BIOLOGY,0.9,Q4, 88/106 ,4.36%,SCIE
Journal of Balkan and Near Eastern Studies,1944-8953,1944-8961,AREA STUDIES,1.0,Q2, 42/84 ,9.52%,SSCI
BULLETIN OF INDONESIAN ECONOMIC STUDIES,0007-4918,1472-7234,AREA STUDIES,4.1,Q1, 3/84 ,5.41%,SSCI
Transactions of the Indian Ceramic Society,0371-750X,2165-5456,"MATERIALS SCIENCE, CERAMICS",1.2,Q3, 18/28 ,0%,SCIE
Journal of Ceramic Science and Technology,2190-9385,2190-9385,"MATERIALS SCIENCE, CERAMICS",0.5,Q4, 26/28 ,0%,SCIE
Quantitative InfraRed Thermography Journal,1768-6733,2116-7176,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",2.5,Q2, 13/32 ,8.54%,SCIE
Iranian Studies,0021-0862,1475-4819,AREA STUDIES,0.3,Q4, 81/84 ,2.70%,SSCI
Science Technology and Society,0971-7218,0973-0796,MANAGEMENT,2.1,Q4, 198/227 ,18.75%,SSCI
AFRICAN STUDIES,0002-0184,1469-2872,AREA STUDIES,0.9,Q3, 46/84 ,4.35%,SSCI
CONTEMPORARY PACIFIC,1043-898X,1527-9464,AREA STUDIES,0.6,Q4, 64/84 ,0%,SSCI
AMERICAN MALACOLOGICAL BULLETIN,0740-2783,2162-2698,MARINE & FRESHWATER BIOLOGY,0.5,Q4, 102/106 ,0%,SCIE
ENGINEERING ECONOMIST,0013-791X,1547-2701,MANAGEMENT,1.2,Q4, 216/227 ,4.17%,SSCI
Asian Journal of Social Science,1568-4849,1568-5314,AREA STUDIES,0.6,Q4, 64/84 ,4.82%,SSCI
China Information,0920-203X,1741-590X,AREA STUDIES,2.1,Q1, 13/84 ,13.56%,SSCI
RESEARCH IN NONDESTRUCTIVE EVALUATION,0934-9847,1432-2110,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",1.4,Q3, 23/32 ,1.85%,SCIE
ACTA ADRIATICA,0001-5113,1846-0453,MARINE & FRESHWATER BIOLOGY,0.9,Q4, 88/106 ,46.38%,SCIE
MATERIALS EVALUATION,0025-5327,0025-5327,"MATERIALS SCIENCE, CHARACTERIZATION & TESTING",0.6,Q4, 31/32 ,0%,SCIE
International Journal of Shipping and Transport Logistics,1756-6517,1756-6525,MANAGEMENT,1.5,Q4, 211/227 ,2.13%,SSCI
MIDDLE EAST POLICY,1061-1924,1475-4967,AREA STUDIES,0.5,Q4, 68/84 ,4.59%,SSCI
South African Journal of Business Management,2078-5585,2078-5976,MANAGEMENT,1.3,Q4, 214/227 ,96.30%,SSCI
Social Dynamics-A Journal of African Studies,0253-3952,1940-7874,AREA STUDIES,0.5,Q4, 68/84 ,4.12%,SSCI
Bioinspired Biomimetic and Nanobiomaterials,2045-9858,2045-9866,"MATERIALS SCIENCE, BIOMATERIALS",,, N/A ,3.39%,SCIE
Journal of Australian Studies,1444-3058,1835-6419,AREA STUDIES,0.5,Q4, 68/84 ,4.72%,SSCI
RBGN-Revista Brasileira de Gestao de Negocios,1806-4892,1983-0807,MANAGEMENT,1.1,Q4, 219/227 ,97.64%,SSCI
Africa Spectrum,0002-0397,1868-6869,AREA STUDIES,2.0,Q1, 17/84 ,89.36%,SSCI
Journal of Current Southeast Asian Affairs,1868-1034,1868-4882,AREA STUDIES,2.5,Q1, 9/84 ,92.86%,SSCI
Negotiation and Conflict Management Research,1750-4708,1750-4716,MANAGEMENT,1.3,Q4, 214/227 ,56.60%,SSCI
Nauplius,0104-6497,2358-2936,MARINE & FRESHWATER BIOLOGY,0.7,Q4, 94/106 ,96.21%,SCIE
THALASSAS,0212-5919,2366-1674,MARINE & FRESHWATER BIOLOGY,0.7,Q4, 94/106 ,2.94%,SCIE
Hidrobiologica,0188-8897,0188-8897,MARINE & FRESHWATER BIOLOGY,0.1,Q4, 106/106 ,0%,SCIE
CELLULAR POLYMERS,0262-4893,1478-2421,"MATERIALS SCIENCE, BIOMATERIALS",1.6,Q4, 43/45 ,9.09%,SCIE
International Journal of Arts Management,1480-8986,1480-8986,MANAGEMENT,0.8,Q4, 222/227 ,0%,SSCI
Academia-Revista Latinoamericana de Administracion,1012-8255,2056-5127,MANAGEMENT,1.2,Q4, 216/227 ,4.55%,SSCI
Journal of Asian Public Policy,1751-6234,1751-6242,AREA STUDIES,2.0,Q1, 17/84 ,4.10%,SSCI
Glass Technology-European Journal of Glass Science and Technology Part A,1753-3546,1753-3554,"MATERIALS SCIENCE, CERAMICS",0.3,Q4, 28/28 ,0%,SCIE
Middle East Critique,1943-6149,1943-6157,AREA STUDIES,1.6,Q2, 24/84 ,17.91%,SSCI
East Asian Science Technology and Society-An International Journal,1875-2160,1875-2152,AREA STUDIES,0.8,Q3, 54/84 ,33.71%,SSCI
Israel Affairs,1353-7121,1743-9086,AREA STUDIES,0.4,Q4, 77/84 ,2.22%,SSCI
China-An International Journal,0219-7472,0219-8614,AREA STUDIES,0.5,Q4, 68/84 ,0%,SSCI
Plankton & Benthos Research,1880-8247,1882-627X,MARINE & FRESHWATER BIOLOGY,0.6,Q4, 98/106 ,98.08%,SCIE
Management & Organizational History,1744-9359,1744-9367,MANAGEMENT,0.6,Q4, 226/227 ,23.26%,SSCI
JOURNAL OF BALTIC STUDIES,0162-9778,1751-7877,AREA STUDIES,0.4,Q4, 77/84 ,7.02%,SSCI
Journal of East European Management Studies,0949-6181,1862-0019,MANAGEMENT,0.7,Q4, 225/227 ,0%,SSCI
German Journal of Human Resource Management-Zeitschrift fur Personalforschung,2397-0022,2397-0030,MANAGEMENT,3.8,Q3, 140/227 ,27.42%,SSCI
India Review,1473-6489,1557-3036,AREA STUDIES,0.8,Q3, 54/84 ,4.23%,SSCI
JOURNAL OF JAPANESE STUDIES,0095-6848,1549-4721,AREA STUDIES,0.8,Q3, 54/84 ,0%,SSCI
JOURNAL OF CONCHOLOGY,0022-0019,,MARINE & FRESHWATER BIOLOGY,0.3,Q4, 104/106 ,0%,SCIE
Social Science Japan Journal,1369-1465,1468-2680,AREA STUDIES,1.1,Q2, 40/84 ,19.05%,SSCI
Modern Italy,1353-2944,1469-9877,AREA STUDIES,0.5,Q4, 68/84 ,52.78%,SSCI
ARCHIV FUR MOLLUSKENKUNDE,1869-0963,2367-0622,MARINE & FRESHWATER BIOLOGY,0.3,Q4, 104/106 ,0%,SCIE
GERMAN STUDIES REVIEW,0149-7952,2164-8646,AREA STUDIES,0.2,Q4, 82/84 ,0%,SSCI
Korea Observer,0023-3919,0023-3919,AREA STUDIES,0.5,Q4, 68/84 ,0%,SSCI
Pacific Focus,1225-4657,1976-5118,AREA STUDIES,0.6,Q4, 64/84 ,3.39%,SSCI
London Journal,0305-8034,1749-6322,AREA STUDIES,0.5,Q4, 68/84 ,14%,SSCI
INFORMS Journal on Applied Analytics,2644-0865,2644-0873,MANAGEMENT,1.4,Q4, 213/227 ,1.02%,SSCI
BETRIEBSWIRTSCHAFTLICHE FORSCHUNG UND PRAXIS,0340-5370,0340-5370,MANAGEMENT,0.1,Q4, 227/227 ,0%,SSCI
African and Asian Studies,1569-2094,1569-2108,AREA STUDIES,0.4,Q4, 77/84 ,2.13%,SSCI
Bilig,1301-0549,1301-0549,AREA STUDIES,0.1,Q4, 83/84 ,0%,SSCI
NWIG-New West Indian Guide-Nieuwe West-Indische Gids,1382-2373,1382-2373,AREA STUDIES,0.1,Q4, 83/84 ,61.54%,SSCI
Ocean and Coastal Research,,2675-2824,MARINE & FRESHWATER BIOLOGY,0.8,Q4, 92/106 ,93.58%,SCIE
Copyright (c) 2023 Clarivate ,,,,,,,,
PHYSICAL REVIEW B,2469-9950,2469-9969,"PHYSICS, APPLIED",3.7,Q2, 49/159 ,7.10%,SCIE
PHYSICAL REVIEW B,2469-9950,2469-9969,"PHYSICS, CONDENSED MATTER",3.7,Q2, 23/66 ,7.10%,SCIE
ADVANCED MATERIALS,0935-9648,1521-4095,"PHYSICS, APPLIED",29.4,Q1, 5/159 ,12.27%,SCIE
ADVANCED MATERIALS,0935-9648,1521-4095,"PHYSICS, CONDENSED MATTER",29.4,Q1, 2/66 ,12.27%,SCIE
JOURNAL OF CHEMICAL PHYSICS,0021-9606,1089-7690,"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",4.4,Q1, 8/35 ,23.82%,SCIE
ADVANCED FUNCTIONAL MATERIALS,1616-301X,1616-3028,"PHYSICS, APPLIED",19.0,Q1, 8/159 ,10.15%,SCIE
ADVANCED FUNCTIONAL MATERIALS,1616-301X,1616-3028,"PHYSICS, CONDENSED MATTER",19.0,Q1, 5/66 ,10.15%,SCIE
APPLIED PHYSICS LETTERS,0003-6951,1077-3118,"PHYSICS, APPLIED",4.0,Q2, 47/159 ,15.43%,SCIE
APPLIED SURFACE SCIENCE,0169-4332,1873-5584,"PHYSICS, APPLIED",6.7,Q1, 27/159 ,3.66%,SCIE
APPLIED SURFACE SCIENCE,0169-4332,1873-5584,"PHYSICS, CONDENSED MATTER",6.7,Q1, 14/66 ,3.66%,SCIE
NANO LETTERS,1530-6984,1530-6992,"PHYSICS, APPLIED",10.8,Q1, 17/159 ,7.75%,SCIE
NANO LETTERS,1530-6984,1530-6992,"PHYSICS, CONDENSED MATTER",10.8,Q1, 9/66 ,7.75%,SCIE
INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,0360-3199,1879-3487,ELECTROCHEMISTRY,7.2,Q1, 7/30 ,3.62%,SCIE
JOURNAL OF APPLIED PHYSICS,0021-8979,1089-7550,"PHYSICS, APPLIED",3.2,Q2, 61/159 ,16.95%,SCIE
JOURNAL OF POWER SOURCES,0378-7753,1873-2755,ELECTROCHEMISTRY,9.2,Q1, 4/30 ,5.86%,SCIE
PHYSICAL REVIEW A,2469-9926,2469-9934,"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",2.9,Q2, 12/35 ,5.73%,SCIE
ELECTROCHIMICA ACTA,0013-4686,1873-3859,ELECTROCHEMISTRY,6.6,Q2, 8/30 ,5.53%,SCIE
Nanoscale,2040-3364,2040-3372,"PHYSICS, APPLIED",6.7,Q1, 27/159 ,13.01%,SCIE
Advanced Energy Materials,1614-6832,1614-6840,"PHYSICS, APPLIED",27.8,Q1, 6/159 ,13.74%,SCIE
Advanced Energy Materials,1614-6832,1614-6840,"PHYSICS, CONDENSED MATTER",27.8,Q1, 3/66 ,13.74%,SCIE
PHYSICAL CHEMISTRY CHEMICAL PHYSICS,1463-9076,1463-9084,"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",3.3,Q2, 9/35 ,15.46%,SCIE
SENSORS AND ACTUATORS B-CHEMICAL,,0925-4005,ELECTROCHEMISTRY,8.4,Q1, 6/30 ,3.49%,SCIE
NATURE MATERIALS,1476-1122,1476-4660,"PHYSICS, APPLIED",41.2,Q1, 1/159 ,4.43%,SCIE
NATURE MATERIALS,1476-1122,1476-4660,"PHYSICS, CONDENSED MATTER",41.2,Q1, 1/66 ,4.43%,SCIE
Nano Energy,2211-2855,2211-3282,"PHYSICS, APPLIED",17.6,Q1, 9/159 ,3.21%,SCIE
Small,1613-6810,1613-6829,"PHYSICS, APPLIED",13.3,Q1, 11/159 ,8.97%,SCIE
Small,1613-6810,1613-6829,"PHYSICS, CONDENSED MATTER",13.3,Q1, 6/66 ,8.97%,SCIE
Materials,,1996-1944,"PHYSICS, APPLIED",3.4,Q2, 56/159 ,99.44%,SCIE
Materials,,1996-1944,"PHYSICS, CONDENSED MATTER",3.4,Q2, 28/66 ,99.44%,SCIE
PHYSICAL REVIEW E,2470-0045,2470-0053,"PHYSICS, FLUIDS & PLASMAS",2.4,Q2, 17/34 ,5.69%,SCIE
Applied Sciences-Basel,,2076-3417,"PHYSICS, APPLIED",2.7,Q2, 77/159 ,99.30%,SCIE
JOURNAL OF THE ELECTROCHEMICAL SOCIETY,0013-4651,1945-7111,ELECTROCHEMISTRY,3.9,Q3, 16/30 ,41.15%,SCIE
JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM,0021-972X,1945-7197,ENDOCRINOLOGY & METABOLISM,5.8,Q1, 31/145 ,29.45%,SCIE
DIABETES CARE,0149-5992,1935-5548,ENDOCRINOLOGY & METABOLISM,16.2,Q1, 6/145 ,0.64%,SCIE
JOURNAL OF FLUID MECHANICS,0022-1120,1469-7645,"PHYSICS, FLUIDS & PLASMAS",3.7,Q1, 6/34 ,35.89%,SCIE
BIOSENSORS & BIOELECTRONICS,0956-5663,1873-4235,ELECTROCHEMISTRY,12.6,Q1, 3/30 ,4.61%,SCIE
JOURNAL OF MOLECULAR LIQUIDS,0167-7322,1873-3166,"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",6.0,Q1, 4/35 ,3.95%,SCIE
Journal of Materials Chemistry C,2050-7526,2050-7534,"PHYSICS, APPLIED",6.4,Q1, 31/159 ,8.50%,SCIE
Journal of Physical Chemistry Letters,1948-7185,,"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",5.7,Q1, 5/35 ,6.88%,SCIE
SURFACE & COATINGS TECHNOLOGY,0257-8972,1879-3347,"PHYSICS, APPLIED",5.4,Q1, 37/159 ,5.81%,SCIE
JOURNAL OF PHYSICAL CHEMISTRY A,1089-5639,1520-5215,"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",2.9,Q2, 12/35 ,7.23%,SCIE
Cell Metabolism,1550-4131,1932-7420,ENDOCRINOLOGY & METABOLISM,29.0,Q1, 3/145 ,15.06%,SCIE
MATERIALS LETTERS,0167-577X,1873-4979,"PHYSICS, APPLIED",3.0,Q2, 68/159 ,1.29%,SCIE
PHYSICS OF FLUIDS,1070-6631,1089-7666,"PHYSICS, FLUIDS & PLASMAS",4.6,Q1, 2/34 ,8.45%,SCIE
Nanomaterials,,2079-4991,"PHYSICS, APPLIED",5.3,Q1, 38/159 ,99.29%,SCIE
DIABETES,0012-1797,1939-327X,ENDOCRINOLOGY & METABOLISM,7.7,Q1, 18/145 ,0.84%,SCIE
Nature Photonics,1749-4885,1749-4893,"PHYSICS, APPLIED",35.0,Q1, 3/159 ,7.47%,SCIE
FREE RADICAL BIOLOGY AND MEDICINE,0891-5849,1873-4596,ENDOCRINOLOGY & METABOLISM,7.4,Q1, 19/145 ,17.89%,SCIE
JOURNAL OF PHYSICS D-APPLIED PHYSICS,0022-3727,1361-6463,"PHYSICS, APPLIED",3.4,Q2, 56/159 ,9.17%,SCIE
JOURNAL OF PHYSICS-CONDENSED MATTER,0953-8984,1361-648X,"PHYSICS, CONDENSED MATTER",2.7,Q3, 37/66 ,11.40%,SCIE
IEEE SENSORS JOURNAL,1530-437X,1558-1748,"PHYSICS, APPLIED",4.3,Q2, 43/159 ,7.04%,SCIE
ACS Energy Letters,2380-8195,2380-8195,ELECTROCHEMISTRY,22.0,Q1, 2/30 ,7.34%,SCIE
CHEMICAL PHYSICS LETTERS,0009-2614,1873-4448,"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",2.8,Q2, 16/35 ,1.45%,SCIE
NANOTECHNOLOGY,0957-4484,1361-6528,"PHYSICS, APPLIED",3.5,Q2, 53/159 ,6.45%,SCIE
Journal of Chemical Theory and Computation,1549-9618,1549-9626,"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",5.5,Q1, 6/35 ,13.40%,SCIE
JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,0304-8853,1873-4766,"PHYSICS, CONDENSED MATTER",2.7,Q3, 37/66 ,4.38%,SCIE
ENDOCRINOLOGY,0013-7227,1945-7170,ENDOCRINOLOGY & METABOLISM,4.8,Q2, 40/145 ,22.06%,SCIE
JOURNAL OF MATERIALS SCIENCE-MATERIALS IN ELECTRONICS,0957-4522,1573-482X,"PHYSICS, APPLIED",2.8,Q2, 74/159 ,1.35%,SCIE
JOURNAL OF MATERIALS SCIENCE-MATERIALS IN ELECTRONICS,0957-4522,1573-482X,"PHYSICS, CONDENSED MATTER",2.8,Q2, 33/66 ,1.35%,SCIE
DIABETOLOGIA,0012-186X,1432-0428,ENDOCRINOLOGY & METABOLISM,8.2,Q1, 13/145 ,54.89%,SCIE
Journal of Electroanalytical Chemistry,1572-6657,1873-2569,ELECTROCHEMISTRY,4.5,Q2, 12/30 ,3.25%,SCIE
SOLAR ENERGY MATERIALS AND SOLAR CELLS,0927-0248,1879-3398,"PHYSICS, APPLIED",6.9,Q1, 26/159 ,7.03%,SCIE
Nano Research,1998-0124,1998-0000,"PHYSICS, APPLIED",9.9,Q1, 18/159 ,3.44%,SCIE
Frontiers in Endocrinology,1664-2392,1664-2392,ENDOCRINOLOGY & METABOLISM,5.2,Q1, 36/145 ,99.56%,SCIE
Thin Solid Films,0040-6090,1879-2731,"PHYSICS, APPLIED",2.1,Q3, 98/159 ,3.79%,SCIE
Thin Solid Films,0040-6090,1879-2731,"PHYSICS, CONDENSED MATTER",2.1,Q3, 40/66 ,3.79%,SCIE
REVIEW OF SCIENTIFIC INSTRUMENTS,0034-6748,1089-7623,"PHYSICS, APPLIED",1.6,Q4, 125/159 ,17.02%,SCIE
IEEE TRANSACTIONS ON ELECTRON DEVICES,0018-9383,1557-9646,"PHYSICS, APPLIED",3.1,Q2, 65/159 ,6.74%,SCIE
PHYSICS OF PLASMAS,1070-664X,1089-7674,"PHYSICS, FLUIDS & PLASMAS",2.2,Q3, 18/34 ,20.69%,SCIE
JOURNAL OF BONE AND MINERAL RESEARCH,0884-0431,1523-4681,ENDOCRINOLOGY & METABOLISM,6.2,Q1, 27/145 ,28.05%,SCIE
IEEE TRANSACTIONS ON MAGNETICS,0018-9464,1941-0069,"PHYSICS, APPLIED",2.1,Q3, 98/159 ,5.30%,SCIE
JOURNAL OF THE MECHANICS AND PHYSICS OF SOLIDS,0022-5096,1873-4782,"PHYSICS, CONDENSED MATTER",5.3,Q2, 18/66 ,10.31%,SCIE
ANTIOXIDANTS & REDOX SIGNALING,1523-0864,1557-7716,ENDOCRINOLOGY & METABOLISM,6.6,Q1, 24/145 ,9.07%,SCIE
Electronics,,2079-9292,"PHYSICS, APPLIED",2.9,Q2, 71/159 ,99.41%,SCIE
BONE,8756-3282,1873-2763,ENDOCRINOLOGY & METABOLISM,4.1,Q2, 56/145 ,15.32%,SCIE
INTERNATIONAL JOURNAL OF OBESITY,0307-0565,1476-5497,ENDOCRINOLOGY & METABOLISM,4.9,Q2, 39/145 ,27.71%,SCIE
APPLIED PHYSICS A-MATERIALS SCIENCE & PROCESSING,0947-8396,1432-0630,"PHYSICS, APPLIED",2.7,Q2, 77/159 ,4.16%,SCIE
SOLID STATE IONICS,0167-2738,1872-7689,"PHYSICS, CONDENSED MATTER",3.2,Q2, 30/66 ,4.08%,SCIE
JOURNAL OF CRYSTAL GROWTH,0022-0248,1873-5002,"PHYSICS, APPLIED",1.8,Q3, 112/159 ,3.79%,SCIE
Obesity,1930-7381,1930-739X,ENDOCRINOLOGY & METABOLISM,6.9,Q1, 23/145 ,16.65%,SCIE
JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM,0271-678X,1559-7016,ENDOCRINOLOGY & METABOLISM,6.3,Q1, 26/145 ,21.24%,SCIE
JOURNAL OF PHYSICS AND CHEMISTRY OF SOLIDS,0022-3697,1879-2553,"PHYSICS, CONDENSED MATTER",4.0,Q2, 22/66 ,1.18%,SCIE
ACS Photonics,2330-4022,,"PHYSICS, APPLIED",7.0,Q1, 25/159 ,11.55%,SCIE
ACS Photonics,2330-4022,,"PHYSICS, CONDENSED MATTER",7.0,Q1, 13/66 ,11.55%,SCIE
PHYSICA B-CONDENSED MATTER,0921-4526,1873-2135,"PHYSICS, CONDENSED MATTER",2.8,Q2, 33/66 ,1.11%,SCIE
OPTICS AND LASER TECHNOLOGY,0030-3992,1879-2545,"PHYSICS, APPLIED",5.0,Q1, 39/159 ,3.18%,SCIE
Physical Review Applied,2331-7019,2331-7019,"PHYSICS, APPLIED",4.6,Q2, 42/159 ,9.93%,SCIE
DIABETES RESEARCH AND CLINICAL PRACTICE,0168-8227,1872-8227,ENDOCRINOLOGY & METABOLISM,5.1,Q2, 37/145 ,16.41%,SCIE
INJURY-INTERNATIONAL JOURNAL OF THE CARE OF THE INJURED,0020-1383,1879-0267,EMERGENCY MEDICINE,2.5,Q2, 12/32 ,10.81%,SCIE
Nature Reviews Endocrinology,1759-5029,1759-5037,ENDOCRINOLOGY & METABOLISM,40.5,Q1, 2/145 ,5.10%,SCIE
AMERICAN JOURNAL OF PHYSIOLOGY-ENDOCRINOLOGY AND METABOLISM,0193-1849,1522-1555,ENDOCRINOLOGY & METABOLISM,5.1,Q2, 37/145 ,7.71%,SCIE
OSTEOPOROSIS INTERNATIONAL,0937-941X,1433-2965,ENDOCRINOLOGY & METABOLISM,4.0,Q2, 62/145 ,25.63%,SCIE
PSYCHONEUROENDOCRINOLOGY,0306-4530,1873-3360,ENDOCRINOLOGY & METABOLISM,3.7,Q3, 75/145 ,19.69%,SCIE
METABOLISM-CLINICAL AND EXPERIMENTAL,0026-0495,1532-8600,ENDOCRINOLOGY & METABOLISM,9.8,Q1, 9/145 ,18.71%,SCIE
AIP Advances,,2158-3226,"PHYSICS, APPLIED",1.6,Q4, 125/159 ,90.81%,SCIE
Lancet Diabetes & Endocrinology,2213-8587,2213-8595,ENDOCRINOLOGY & METABOLISM,44.5,Q1, 1/145 ,7.57%,SCIE
Vacuum,0042-207X,1879-2715,"PHYSICS, APPLIED",4.0,Q2, 47/159 ,2.65%,SCIE
ELECTROCHEMISTRY COMMUNICATIONS,1388-2481,1873-1902,ELECTROCHEMISTRY,5.4,Q2, 10/30 ,97.64%,SCIE
Micromachines,,2072-666X,"PHYSICS, APPLIED",3.4,Q2, 56/159 ,99.49%,SCIE
JAPANESE JOURNAL OF APPLIED PHYSICS,0021-4922,1347-4065,"PHYSICS, APPLIED",1.5,Q4, 130/159 ,6.48%,SCIE
Nano-Micro Letters,2311-6706,2150-5551,"PHYSICS, APPLIED",26.6,Q1, 7/159 ,99.67%,SCIE
SURFACE SCIENCE,0039-6028,1879-2758,"PHYSICS, CONDENSED MATTER",1.9,Q3, 44/66 ,6.64%,SCIE
Obesity Reviews,1467-7881,1467-789X,ENDOCRINOLOGY & METABOLISM,8.9,Q1, 11/145 ,28.19%,SCIE
MOLECULAR AND CELLULAR ENDOCRINOLOGY,0303-7207,1872-8057,ENDOCRINOLOGY & METABOLISM,4.1,Q2, 56/145 ,13.95%,SCIE
RESUSCITATION,0300-9572,1873-1570,EMERGENCY MEDICINE,6.5,Q1, 2/32 ,16.56%,SCIE
